date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:49:13	24818/24818	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20Nov%202019%2020:40:28%20GMT	http://cdn.shopify.com/s/files/1/0265/8933/1530/products/11_5d31eaf6-bcfa-44e0-aedf-f5132b5c8360_600x800_crop_center.jpg?v=1569231219	C:/My%20Web%20Sites/love/cdn.shopify.com/s/files/1/0265/8933/1530/products/11_5d31eaf6-bcfa-44e0-aedf-f5132b5c8360_600x800_crop_center4cd0.jpg	(from https://susan-demo.myshopify.com/)
10:49:14	39980/39980	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20Nov%202019%2020:40:26%20GMT	http://cdn.shopify.com/s/files/1/0265/8933/1530/products/10_4c23f24d-1c97-4e19-be2c-3fef7d818273_600x800_crop_center.jpg?v=1569231219	C:/My%20Web%20Sites/love/cdn.shopify.com/s/files/1/0265/8933/1530/products/10_4c23f24d-1c97-4e19-be2c-3fef7d818273_600x800_crop_center4cd0.jpg	(from https://susan-demo.myshopify.com/)
10:49:16	113038/113038	---MCZ	200	added ('OK')	text/html	etag:cacheable:ddd635ca33b08a0e93823ce0ac64717b	https://susan-demo.myshopify.com/collections/vendors?q=Vendor%207	C:/My%20Web%20Sites/love/susan-demo.myshopify.com/collections/vendors4622.html	(from https://susan-demo.myshopify.com/)
10:49:21	122545/122545	---MCZ	200	added ('OK')	text/html	etag:cacheable:0392df218d23d5c274391e0a26c2ff39	https://susan-demo.myshopify.com/products/6-variable-with-soldout-product	C:/My%20Web%20Sites/love/susan-demo.myshopify.com/products/6-variable-with-soldout-product.html	(from https://susan-demo.myshopify.com/)
10:49:25	41618/41618	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20Nov%202019%2020:40:38%20GMT	http://cdn.shopify.com/s/files/1/0265/8933/1530/products/9_1018d4cc-1e64-4575-995d-1603e8df8b40_600x800_crop_center.jpg?v=1569231200	C:/My%20Web%20Sites/love/cdn.shopify.com/s/files/1/0265/8933/1530/products/9_1018d4cc-1e64-4575-995d-1603e8df8b40_600x800_crop_center24d2.jpg	(from https://susan-demo.myshopify.com/)
10:49:25	39980/39980	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20Nov%202019%2020:40:40%20GMT	http://cdn.shopify.com/s/files/1/0265/8933/1530/products/10_bf49c3cd-fade-4f88-9caa-725a72b1018a_600x800_crop_center.jpg?v=1569231200	C:/My%20Web%20Sites/love/cdn.shopify.com/s/files/1/0265/8933/1530/products/10_bf49c3cd-fade-4f88-9caa-725a72b1018a_600x800_crop_center24d2.jpg	(from https://susan-demo.myshopify.com/)
10:49:27	118761/118761	---MCZ	200	added ('OK')	text/html	etag:cacheable:48aaae6cca54690a8348f00503c04794	https://susan-demo.myshopify.com/collections/vendors?q=Vendor%206	C:/My%20Web%20Sites/love/susan-demo.myshopify.com/collections/vendorsf922.html	(from https://susan-demo.myshopify.com/)
10:49:29	37676/37676	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20Nov%202019%2020:40:45%20GMT	http://cdn.shopify.com/s/files/1/0265/8933/1530/products/8_d10a44bc-e5d0-4a4d-a8ee-2892f61e6c7e_600x800_crop_center.jpg?v=1569231201	C:/My%20Web%20Sites/love/cdn.shopify.com/s/files/1/0265/8933/1530/products/8_d10a44bc-e5d0-4a4d-a8ee-2892f61e6c7e_600x800_crop_center27e6.jpg	(from https://susan-demo.myshopify.com/)
10:49:31	116902/116902	---MCZ	200	added ('OK')	text/html	etag:cacheable:c416dffe6c96e5b6d66a518253293ec7	https://susan-demo.myshopify.com/collections/vendors?q=Vendor%205	C:/My%20Web%20Sites/love/susan-demo.myshopify.com/collections/vendors7aa5.html	(from https://susan-demo.myshopify.com/)
10:49:35	42357/42357	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20Nov%202019%2020:40:55%20GMT	http://cdn.shopify.com/s/files/1/0265/8933/1530/products/7_0703c71f-03e5-4502-b7cc-ce60c55e74de_600x800_crop_center.jpg?v=1569231186	C:/My%20Web%20Sites/love/cdn.shopify.com/s/files/1/0265/8933/1530/products/7_0703c71f-03e5-4502-b7cc-ce60c55e74de_600x800_crop_centerfea0.jpg	(from https://susan-demo.myshopify.com/)
